Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Object Repository/input_password""), ""9NLz+4tGZcQ="")",Chrome 119.0.0.0,,,13-12-2023 14:04:37,13-12-2023 14:04:38,0.477s,PASSED
"click(findTestObject(""Object Repository/button_register""))",Chrome 119.0.0.0,,,13-12-2023 14:04:38,13-12-2023 14:04:38,0.408s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_password""), ""+jKycXn6u1w="")",Chrome 119.0.0.0,,,13-12-2023 14:04:38,13-12-2023 14:04:39,0.473s,PASSED
"setText(findTestObject(""Object Repository/input_name""), ""dasda"")",Chrome 119.0.0.0,,,13-12-2023 14:04:39,13-12-2023 14:04:40,0.934s,PASSED
"click(findTestObject(""Object Repository/input_name""))",Chrome 119.0.0.0,,,13-12-2023 14:04:40,13-12-2023 14:04:40,0.412s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_password""), ""jWModsK9zNSGtzParKYuZQ=="")",Chrome 119.0.0.0,,,13-12-2023 14:04:40,13-12-2023 14:04:41,0.546s,PASSED
"setText(findTestObject(""Object Repository/input_name""), ""dasda"")",Chrome 119.0.0.0,,,13-12-2023 14:04:41,13-12-2023 14:04:41,0.846s,PASSED
"click(findTestObject(""Object Repository/input_name""))",Chrome 119.0.0.0,,,13-12-2023 14:04:41,13-12-2023 14:04:42,0.399s,PASSED
"click(findTestObject(""Object Repository/div_col-md-12 register-row""))",Chrome 119.0.0.0,,,13-12-2023 14:04:42,13-12-2023 14:04:42,0.388s,PASSED
"setText(findTestObject(""Object Repository/input_name""), """")",Chrome 119.0.0.0,,,13-12-2023 14:04:42,13-12-2023 14:04:43,0.661s,PASSED
"click(findTestObject(""Object Repository/button_register""))",Chrome 119.0.0.0,,,13-12-2023 14:04:43,13-12-2023 14:04:43,0.395s,PASSED
"setText(findTestObject(""Object Repository/input_name""), ""dasda"")",Chrome 119.0.0.0,,,13-12-2023 14:04:43,13-12-2023 14:04:44,0.774s,PASSED
"click(findTestObject(""Object Repository/input_name""))",Chrome 119.0.0.0,,,13-12-2023 14:04:44,13-12-2023 14:04:45,0.420s,PASSED
"setText(findTestObject(""Object Repository/input_form-control btn-log border-grey int__5c974a""), """")",Chrome 119.0.0.0,,,13-12-2023 14:04:45,13-12-2023 14:04:45,0.932s,PASSED
"click(findTestObject(""Object Repository/button_register""))",Chrome 119.0.0.0,,,13-12-2023 14:04:45,13-12-2023 14:04:46,0.421s,PASSED
"setText(findTestObject(""Object Repository/input_form-control btn-log border-grey int__5c974a""), ""347987978"")",Chrome 119.0.0.0,,,13-12-2023 14:04:46,13-12-2023 14:04:47,0.747s,PASSED
"click(findTestObject(""Object Repository/input_psa-checkbox""))",Chrome 119.0.0.0,,,13-12-2023 14:04:47,13-12-2023 14:04:47,0.493s,PASSED
"click(findTestObject(""Object Repository/button_register""))",Chrome 119.0.0.0,,,13-12-2023 14:04:47,13-12-2023 14:04:48,0.492s,PASSED
"click(findTestObject(""Object Repository/input_psa-checkbox""))",Chrome 119.0.0.0,,,13-12-2023 14:04:48,13-12-2023 14:04:48,0.412s,PASSED
"click(findTestObject(""Object Repository/button_register""))",Chrome 119.0.0.0,,,13-12-2023 14:04:48,13-12-2023 14:04:48,0.424s,PASSED
"setText(findTestObject(""Object Repository/input_form-control btn-log border-grey int__5c974a""), ""8967830011"")",Chrome 119.0.0.0,,,13-12-2023 14:04:48,13-12-2023 14:04:50,1.081s,PASSED
"click(findTestObject(""Object Repository/button_register""))",Chrome 119.0.0.0,,,13-12-2023 14:04:50,13-12-2023 14:04:56,6.824s,PASSED
"click(findTestObject(""Object Repository/div_Merchant Application""))",Chrome 119.0.0.0,,,13-12-2023 14:04:56,13-12-2023 14:05:03,6.929s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,13-12-2023 14:05:03,13-12-2023 14:05:04,0.563s,PASSED
